Feature_ID,b_numbers,background_2,background_3,background_4,pex_1,TPII_1,LL37_2,PLEU_1,NT_6,pex_2,LL37_3,Ind_3,PXB_1,CAP18_1,HBD3_1,PR39_1,Ind_1,PGLA_1,NT_4,PGLA_2,NT_2,NT_3,PROA_3,Bac5_2,background_1,R8_1,R8_2,PROA_2,PROA_1,NT_1,AP_2,TPII_2,CAP18_2,background_5,Bac5_3,PR39_2,CP1_1,CP1_2,PXB_3
ypfH,b2473,7.247419101,8.684798543,9.623881996,8.524595193,12.14311421,42.34434108,8.287909698,14.64672802,15.22278195,35.95410108,14.32687977,8.412302933,113.9954335,18.20601466,15.42334274,5.262175406,30.52656412,7.957292301,273.2201416,14.77025661,14.76054565,7.845678822,6.840123802,7.823151063,17.232397,10.70701444,12.72677008,13.21621617,17.73299055,38.32441097,29.42338751,37.72425098,9.460126799,4.621638699,9.134730986,8.652151529,8.12091832,25.64905408
cspE,b0623,7.237065645,7.226993074,6.963864923,7.32250942,88.57829726,18.342309,19.70492816,100.4600687,22.16817621,28.37673456,566.533947,42.00142679,38.84051386,11.62192169,44.60488513,415.7632919,31.26456896,52.9728316,27.07756669,40.22497156,58.06453607,45.02569373,16.82840396,7.439976317,28.01266397,22.8089999,31.77147246,21.50676955,42.16108977,37.59826424,83.3202579,24.04491012,5.248117963,5.127818175,21.05003393,90.7614441,123.7737859,40.35895315
istR,b4616,7.237065645,10.84048961,12.53495686,71.39446684,154.7970243,72.40385131,145.8164684,179.4985051,149.6351894,125.8446489,91.56104194,255.5086796,167.3129828,144.4438838,127.5026433,196.3582731,149.8093929,130.3131657,120.4484863,147.4915624,166.1539032,166.1448099,147.0010581,8.369973357,66.02985077,171.0674993,158.8573623,152.5025477,142.7454039,48.34062545,162.2552391,62.11601781,5.904132708,61.5338181,112.2668476,265.7390358,162.1863402,223.5265098
yoaI,b1788,7.237065645,8.672391688,5.571091938,98.85387716,123.8376195,98.46923778,315.2788505,292.5160824,180.512292,251.6892979,26.7053039,485.3498207,119.5092734,466.537142,577.3387019,47.93723099,163.2705268,303.0045968,138.188961,243.58455,225.1117398,111.6637205,209.8600965,7.439976317,61.36107345,142.5562494,110.611793,211.1573738,212.0100514,150.393057,245.575497,440.8233522,18.36841287,435.8645449,1786.913991,312.4288172,278.8466901,214.2129052
lldD,b3605,7.230989183,6.881116831,8.595198519,24.53132879,50.49424345,22.46890297,10.19163371,46.62782119,33.50354087,21.10152532,101.2379909,33.53178559,17.208934,12.58797563,24.33648977,131.4999705,25.26628684,47.63551859,25.35361495,35.65983695,38.90470175,13.33758585,33.68672952,14.75813942,40.92530252,27.39809025,24.89787934,29.30278884,36.53253118,35.04120345,37.88790728,82.4377691,10.87298999,19.89128461,23.09435573,86.94088147,59.95354348,42.69712928
yidC,b3705,7.228277466,5.897436971,7.991320403,4.434853155,8.443189245,4.06200113,3.852451043,6.781296827,9.691005993,12.11298007,5.837224896,3.867769518,3.047595315,3.598773564,4.399629526,2.115766815,1.88245482,6.078849528,4.166826103,5.556272635,5.125494987,1.837113915,2.776785825,9.011993171,4.081991106,6.907096965,6.451604405,4.861192323,7.833207935,33.38643682,38.02170718,38.15261999,7.86261753,5.230561344,6.560828224,6.120070754,3.809381012,8.906452461
iscU,b2529,7.199664789,6.274598637,5.290378003,62.08523006,45.26579652,34.05039002,79.1252154,69.74484934,44.68004507,62.2624004,71.42116159,163.9719784,597.7007718,86.93918161,117.3675418,104.0498037,18.85029998,54.61540002,20.26655619,66.0888314,63.98524905,44.95588645,55.86446915,6.055794677,38.36359664,18.56546504,37.67332221,101.3197706,54.90746574,74.32215024,112.6347564,302.2699942,3.559769936,29.21663844,79.95749323,22.25739051,78.74408192,120.4511392
lldP,b3603,7.188993349,7.698318709,9.537467177,6.732198425,9.378805218,5.508988686,3.998101366,10.67869976,12.85111664,18.77477712,4.354125636,2.663133945,3.915083383,3.789757072,5.016067544,3.156402124,4.735625633,6.314515071,4.617800916,8.643348861,12.46089542,1.827129601,7.280831211,9.434752576,6.428026755,6.508002689,5.222766205,5.082709867,10.69303001,31.33188687,31.14182027,31.6775235,8.485408119,11.37966896,6.673470902,7.082832873,6.494876322,9.251738842
nhoA,b1463,7.185738938,12.19875427,9.334542343,34.53523946,53.15429736,61.34643099,128.1519087,92.41320463,79.39665947,47.77581582,29.35689436,97.01866215,101.604072,48.83679858,31.12732182,28.60411696,124.6024882,71.00613598,104.2973038,89.30958028,81.37904701,116.0130109,33.90954991,11.54251645,36.75420449,26.18586425,158.89909,111.8670944,105.253217,92.99570676,59.14421691,50.733055040000004,7.164983743,36.27658603,29.60938579,50.25797368,42.02476712,79.76012427
paaI,b1396,7.185738938,10.04603292,6.91447581,74.06900042,171.6307433,140.4258147,119.3475791,155.488884,153.2905802,202.1284516,198.8692844,140.7494621,235.345685,120.3404657,64.34372564,258.1235515,216.4375401,151.4797567,152.9693789,162.5323418,161.8711289,176.1430685,62.41322955,11.08081579,141.0566767,181.1778716,188.6926694,139.2878789,165.6542109,136.6603576,208.274727,177.7314869,5.210897268,66.18885871,83.02239545,130.8440349,218.9525682,154.8964732
